"Region","year","month","n_flights","n_delay","prop_delay","strat.size","prop_se","upper","lower"
"Hawaii",2004,6,160,0,0,5737,0,0.01875,0
"Hawaii",2004,7,140,0,0,6146,0,0.0214285714285714,0
"Hawaii",2004,8,145,0,0,6174,0,0.0206896551724138,0
"Hawaii",2004,9,132,0,0,5211,0,0.0227272727272727,0
"Hawaii",2004,10,133,0,0,5287,0,0.0225563909774436,0
"Hawaii",2004,11,144,2,0.0138888888888889,5268,0.00965184494833926,0.0328065049876338,0
"Hawaii",2004,12,136,0,0,5682,0,0.0220588235294118,0
"Hawaii",2005,1,165,0,0,5743,0,0.0181818181818182,0
"Hawaii",2005,2,125,0,0,5253,0,0.024,0
"Hawaii",2005,3,132,0,0,5880,0,0.0227272727272727,0
"Hawaii",2005,4,158,0,0,5691,0,0.0189873417721519,0
"Hawaii",2005,5,142,0,0,5809,0,0.0211267605633803,0
"Hawaii",2005,6,132,0,0,6087,0,0.0227272727272727,0
"Hawaii",2005,7,152,0,0,6426,0,0.0197368421052632,0
"Hawaii",2005,8,155,0,0,6320,0,0.0193548387096774,0
"Hawaii",2005,9,115,0,0,5486,0,0.0260869565217391,0
"Hawaii",2005,10,127,0,0,5599,0,0.0236220472440945,0
"Hawaii",2005,11,141,0,0,5507,0,0.0212765957446809,0
"Hawaii",2005,12,166,0,0,5917,0,0.0180722891566265,0
"Hawaii",2006,1,155,0,0,6022,0,0.0193548387096774,0
"Hawaii",2006,2,144,0,0,5481,0,0.0208333333333333,0
"Hawaii",2006,3,175,1,0.00571428571428571,6219,0.00563331323894286,0.0167555796626137,0
"Hawaii",2006,4,206,0,0,9187,0,0.0145631067961165,0
"Hawaii",2006,5,217,0,0,9385,0,0.0138248847926267,0
"Hawaii",2006,6,228,0,0,10773,0,0.0131578947368421,0
"Hawaii",2006,7,329,0,0,13218,0,0.00911854103343465,0
"Hawaii",2006,8,319,0,0,12927,0,0.00940438871473354,0
"Hawaii",2006,9,324,0,0,11406,0,0.00925925925925926,0
"Hawaii",2006,10,290,0,0,11652,0,0.0103448275862069,0
"Hawaii",2006,11,267,0,0,11372,0,0.0112359550561798,0
"Hawaii",2006,12,295,0,0,11903,0,0.0101694915254237,0
"Hawaii",2007,1,271,0,0,11420,0,0.011070110701107,0
"Hawaii",2007,2,258,0,0,10302,0,0.0116279069767442,0
"Hawaii",2007,3,290,0,0,11567,0,0.0103448275862069,0
"Hawaii",2007,4,311,0,0,11108,0,0.00964630225080386,0
"Hawaii",2007,5,283,0,0,11151,0,0.0106007067137809,0
"Hawaii",2007,6,264,0,0,11491,0,0.0113636363636364,0
"Hawaii",2007,7,304,0,0,11906,0,0.00986842105263158,0
"Hawaii",2007,8,270,0,0,11975,0,0.0111111111111111,0
"Hawaii",2007,9,263,0,0,10553,0,0.0114068441064639,0
"Hawaii",2007,10,270,0,0,10790,0,0.0111111111111111,0
"Hawaii",2007,11,256,0,0,10764,0,0.01171875,0
"Hawaii",2007,12,302,1,0.0033112582781457,11317,0.00326677820803566,0.0097141435658956,0
"Hawaii",2008,1,300,0,0,11212,0,0.01,0
"Hawaii",2008,2,259,1,0.00386100386100386,10616,0.00381361431499432,0.0113356879183927,0
