"year","month","origin","avg_del","n_flights","n_wdelay"
2003,3,"BRO",NA,153,0
2003,11,"MOT",0,89,89
2003,3,"WRG",NA,62,0
2003,7,"GJT",1.29513888888889,288,288
2003,5,"EWR",NA,12536,0
2003,7,"EKO",1.02597402597403,231,231
2003,10,"TPA",0.0299476817607794,5543,5543
2003,7,"IAD",1.87724687144482,8790,8790
2003,9,"BFL",0,205,205
2003,11,"LGA",0.301587301587302,8883,8883
2003,11,"CLL",1.36647727272727,352,352
2003,6,"WYS",0,57,57
2003,12,"DBQ",0.010752688172043,93,93
2003,10,"LIH",0,128,128
2003,4,"ROA",NA,407,0
2003,5,"DAY",NA,1082,0
2003,2,"AVP",NA,84,0
2003,4,"CLD",NA,180,0
2003,5,"CEC",NA,90,0
2003,7,"VPS",1.46880907372401,529,529
2003,8,"GPT",1.30218687872763,503,503
2003,11,"RDD",0.0862068965517241,174,174
2003,4,"MSO",NA,271,0
2003,11,"CIC",0,89,89
2003,1,"LRD",NA,214,0
2003,2,"BRW",NA,56,0
2003,7,"DTW",0.912497949811383,12194,12194
2003,3,"ICT",NA,909,0
2003,11,"MSN",0.589147286821705,645,645
2003,3,"CDV",NA,62,0
2003,10,"YAK",0,62,62
2003,3,"BQK",NA,124,0
2003,10,"SMF",0.141722511789526,4029,4029
2003,2,"SAV",NA,602,0
2003,2,"PBI",NA,2294,0
2003,4,"BFL",NA,269,0
2003,7,"BUF",0.672820512820513,1950,1950
2003,8,"WYS",1.24731182795699,93,93
2003,10,"KOA",0,131,131
2003,10,"CRP",1.59887005649718,708,708
2003,7,"ABY",2.77049180327869,122,122
2003,12,"CID",0.149046793760832,577,577
2003,1,"ABQ",NA,3039,0
2003,5,"OTZ",NA,93,0
2003,12,"BNA",0.0864016736401674,4780,4780
2003,2,"HDN",NA,166,0
2003,11,"FAI",0.152849740932642,386,386
2003,12,"ELP",0.0196897374701671,1676,1676
2003,2,"GEG",NA,1123,0
2003,9,"CLD",0.798850574712644,174,174
2003,5,"STL",NA,8975,0
2003,9,"ROA",0.759162303664921,382,382
2003,3,"CVG",NA,7849,0
2003,6,"GPT",0.553530751708428,439,439
2003,10,"ANC",0.26219512195122,1640,1640
2003,9,"MSO",0,233,233
2003,2,"MAF",NA,724,0
2003,1,"EVV",NA,423,0
2003,6,"ORD",0.405589774157229,30198,30198
2003,7,"SFO",0.123860040945468,10746,10746
2003,11,"MYR",0.384615384615385,416,416
2003,6,"SNA",0.0703971119133574,3878,3878
2003,6,"BUR",0.115107913669065,2224,2224
2003,6,"MFR",0.059375,320,320
2003,10,"GSO",0.272370486656201,1274,1274
2003,1,"EUG",NA,290,0
2003,6,"SYR",0.181640625,1024,1024
2003,12,"OGG",0.0483005366726297,1118,1118
2003,10,"TUS",0.0635838150289017,1384,1384
2003,1,"MSP",NA,12233,0
2003,6,"SPS",0.47093023255814,172,172
2003,9,"FAR",0.426791277258567,321,321
2003,9,"YUM",0,89,89
2003,9,"CPR",0.597457627118644,236,236
2003,4,"OAK",NA,5344,0
2003,10,"JAC",1.03645833333333,192,192
2003,7,"SBN",0.777272727272727,220,220
2003,2,"MCN",NA,139,0
2003,7,"BDL",0.301365187713311,2930,2930
2003,7,"JAN",0.244212962962963,864,864
2003,10,"ILE",0.880681818181818,352,352
2003,3,"MLB",NA,275,0
2003,12,"LGB",0.962224554039874,953,953
2003,5,"FSD",NA,264,0
2003,11,"DAB",0.573913043478261,230,230
2003,12,"IYK",0,90,90
2003,9,"BET",0,99,99
2003,8,"TYR",0,248,248
2003,7,"SIT",0,155,155
2003,1,"BRO",NA,143,0
2003,8,"DFW",2.96212500894967,27934,27934
2003,11,"PIH",0,149,149
2003,1,"WRG",NA,62,0
2003,6,"AVL",0.53525641025641,312,312
2003,8,"TWF",3.69620253164557,158,158
2003,9,"GRB",0.928388746803069,391,391
2003,2,"OGG",NA,350,0
2003,9,"HNL",0,959,959
2003,10,"COS",0.0992608236536431,947,947
2003,6,"ATL",0.366100793993555,30101,30101
2003,6,"PIA",0.349206349206349,315,315
2003,9,"CLE",0.116174055829228,7308,7308
2003,10,"FNT",0.0632411067193676,253,253
2003,4,"TUL",NA,1869,0
2003,4,"DLG",NA,15,0
2003,11,"TXK",0.396449704142012,169,169
2003,11,"EYW",0,61,61
2003,3,"LRD",NA,202,0
2003,8,"LSE",0,125,125
2003,1,"ICT",NA,1032,0
2003,2,"LGB",NA,746,0
2003,2,"IYK",NA,84,0
2003,6,"ATW",0,120,120
2003,8,"AZO",0.103896103896104,308,308
2003,11,"CHO",1.99159663865546,238,238
2003,12,"MCN",0.827814569536424,151,151
2003,9,"DRO",1.08988764044944,89,89
2003,1,"CDV",NA,62,0
2003,10,"CDC",0.842696629213483,89,89
2003,10,"RST",0,152,152
2003,4,"ACY",NA,12,0
2003,8,"ACT",0.442446043165468,278,278
2003,4,"DEN",NA,10859,0
2003,12,"SAV",0,767,767
2003,12,"PBI",0.335729386892178,2365,2365
2003,2,"CID",NA,352,0
2003,5,"HOU",NA,4834,0
2003,9,"OME",0,90,90
2003,8,"BHM",0.348763474952441,1577,1577
2003,10,"PWM",0.181467181467181,777,777
2003,11,"SBA",0.0645502645502646,945,945
2003,2,"BNA",NA,4240,0
2003,3,"SEA",NA,8330,0
2003,7,"CAK",2.03233256351039,433,433
2003,12,"HDN",0.495327102803738,107,107
2003,5,"TYS",NA,908,0
2003,8,"GGG",0,117,117
